molregno,canonical_smiles
250,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
160532,Cn1cc(C2=C(c3c4n(c5ccccc35)CCNC4)C(=O)NC2=O)c2ccccc21
162438,CCCCCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@@H](N)CCCCN
164324,CC(C)(C)c1ccc(NC(=O)c2cc(Cl)cc(Cl)c2O)cc1
163192,CCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@H](N)CCCCN
163291,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC
163165,O=C(Nc1ccc(Cl)c(Cl)c1)c1cccc(O)c1O
165758,Oc1[nH]c(Nc2cccc(CCl)c2)nc2ncnc1-2
168389,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
162956,CCCCCCCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@@H](N)CCCCN
165839,Oc1[nH]c(Nc2ccc(Cl)cc2)nc2ncnc1-2
165012,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
162615,CCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@@H](N)CCC(=O)OCc1ccccc1
164466,CCCc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
164468,NCc1cccc(Nc2nc(O)c3[nH]cnc3n2)c1
163697,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1O
160650,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12
165135,[N-]=[N+]=NCc1cccc(Nc2nc3ncnc-3c(O)[nH]2)c1
163270,COc1cc2nccc(Oc3cccc(F)c3)c2cc1OC
169783,Cc1cn([C@H]2C[C@H](O)[C@@H](CN=[N+]=[N-])O2)c(=O)[nH]c1=O
169776,C[C@@H]1CC[C@H](n2cc(Br)c(=O)[nH]c2=O)O1
123400,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl
170044,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
168355,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1
166439,O=C1Cc2c(c3c4ccccc4[nH]c3c3[nH]c4ccccc4c23)N1
165162,Oc1[nH]c(Nc2cccc(CBr)c2)nc2ncnc1-2
167995,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
165161,Oc1[nH]c(Nc2cccc(I)c2)nc2ncnc1-2
165813,CC(C)c1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
172311,O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1
174567,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
174591,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
169457,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
172277,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12
174568,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21
171802,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cn1
171841,CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(-c2ccccc2)n1
169301,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O
171234,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1
169054,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
174619,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
175722,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1
174489,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21
174688,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
612738,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1
617563,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
171978,Cc1ccc(-n2nc(C(C)(C)CO)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
611647,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl
633648,CC1(C)C(=O)CC[C@]2(C)C3Cc4cc5ccccc5n4[C@]3(C)CC[C@@H]12
8679,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1
633570,CC1(C)C(=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@H]2Cc2cc3ccccc3n21
630429,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cc(COc3cccnc3)n[nH]2)cc1
633574,CC1(C)[C@H](O)CC[C@]2(C)[C@@H]3C[C@@H]4Nc5ccccc5[C@@H]4[C@]3(C)CC[C@@H]12
629550,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(Br)cc2/C1=N/O
178785,O=C(NNC(=O)c1ccccc1F)c1ccc2ccccc2c1
621252,FC(F)c1nc2ccccc2n1-c1nc(N2CC3CCC(C2)O3)nc(N2CC3CCC(C2)O3)n1
621327,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CC6CCC(C5)O6)nc(N5CC6CCC(C5)O6)n4)cc3)cc2)CC1
621328,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C[C@H]6C[C@@H]5CO6)nc(N5C[C@H]6C[C@@H]5CO6)n4)cc3)cc2)CC1
621329,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C[C@@H]6C[C@H]5CO6)nc(N5C[C@@H]6C[C@H]5CO6)n4)cc3)cc2)CC1
621330,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1
621331,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5CC6CCC(C5)O6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1
621253,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CC3CCC(C2)O3)n1
621991,CCCCc1cn([C@H]2C[C@H](n3cc(C)c(=O)[nH]c3=O)O[C@@H]2CO)nn1
620843,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
621992,Cc1cn([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
621993,Cc1cn([C@H]2C[C@H](n3cc(Cc4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
621994,Cc1cn([C@H]2C[C@H](n3cc(CC4CCCC4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
620844,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(Cl)c(Cl)c4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
620846,Cc1cn([C@H]2C[C@H](n3nncc3-c3ccccc3)[C@@H](CO)O2)c(=O)[nH]c1=O
620847,Cc1cn([C@H]2C[C@H](n3nncc3-c3ccc(Cl)cc3)[C@@H](CO)O2)c(=O)[nH]c1=O
620806,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3cccnc3)cc2)nc(N2C[C@@H]3C[C@H]2CO3)n1
620807,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3cccnc3)cc2)nc(N2CCOC[C@H]2C)n1
620845,Cc1cn([C@H]2C[C@H](n3cc(-c4ccccn4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
621915,Cc1cn([C@H]2C[C@H](NC(=S)Nc3ccc(Cl)c(C(F)(F)F)c3)[C@@H](CO)O2)c(=O)[nH]c1=O
620924,O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)cc1/C=C/Br
620925,O=c1[nH]c(=O)n([C@H]2C[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H](CO)O2)cc1/C=C/Br
620869,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)nc3)cc2)nc(N2CCOC[C@H]2C)n1
620870,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620871,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCC(N(C)C)CC4)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620873,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(OCCN(C)C)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620874,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCN(C)CC4)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620875,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCC(N(C)C)CC4)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620876,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N(C)C)cc3)cc2)nc(N2CCOC[C@H]2C)n1
620877,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)nc3)cc2)nc(C2CCOCC2)n1
620878,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(C2CCOCC2)n1
620879,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCNCC4)cc3)cc2)nc(C2CCOCC2)n1
620880,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(N4CCC(N(C)C)CC4)cc3)cc2)nc(C2CCOCC2)n1
620881,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCN(C)CC4)cc3)cc2)nc(C2CCOCC2)n1
620882,CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5CCOC[C@H]5C)n4)cc3)cc2)CC1
614674,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O
621323,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1
621326,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1
621990,Cc1cn([C@H]2C[C@H](n3ccnn3)[C@@H](CO)O2)c(=O)[nH]c1=O
621324,CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1
621325,O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc(N3CC4CCC(C3)O4)n2)cc1)NC1CC1
620867,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3cccnc3)cc2)nc(C2CCOCC2)n1
184124,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
620868,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccncc3)cc2)nc(N2CCOC[C@H]2C)n1
620872,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(CN(C)C)cc3)cc2)nc(N2CCOC[C@H]2C)n1
628663,Cc1ccccc1CSc1ncnc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O
628664,O=[N+]([O-])c1cccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1
628665,OC[C@H]1C[C@@H](n2cnc3c(SCc4cccc(C(F)(F)F)c4)ncnc32)[C@H](O)[C@@H]1O
628662,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccccc4Cl)ncnc32)[C@H](O)[C@@H]1O
628666,Cc1cccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1
627846,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(F)cc4)ncnc32)[C@H](O)[C@@H]1O
627847,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(Cl)cc4)ncnc32)[C@H](O)[C@@H]1O
627848,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(Br)cc4)ncnc32)[C@H](O)[C@@H]1O
627849,O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)cc1
183072,CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
183073,CCOC(=O)c1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
150549,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
627151,Cc1nnc(-c2ccc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c2)o1
183377,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21
625898,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O
627902,COc1ccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)cc1
627898,COC(=O)c1ccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)cc1
627899,Cc1ccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)cc1
627900,CS(=O)(=O)c1ccc(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)cc1
627010,COC(=O)c1cc(F)c(-c2c(=O)ccn3c(-c4ccc(F)cc4F)cccc23)c(F)c1
183174,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(O)nc21
628621,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccccc4F)ncnc32)[C@H](O)[C@@H]1O
184123,CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
627946,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(Cl)cc4Cl)ncnc32)[C@H](O)[C@@H]1O
627947,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(Cl)c(Cl)c4)ncnc32)[C@H](O)[C@@H]1O
627948,OC[C@H]1C[C@@H](n2cnc3c(SCc4c(F)cccc4Cl)ncnc32)[C@H](O)[C@@H]1O
627949,Cc1cc(C)c(CSc2ncnc3c2ncn3[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(C)c1
627901,OC[C@H]1C[C@@H](n2cnc3c(SCc4ccc(OC(F)(F)F)cc4)ncnc32)[C@H](O)[C@@H]1O
627007,O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1c(F)cccc1F
627008,N#Cc1cc(F)c(-c2c(=O)ccn3c(-c4ccc(F)cc4F)cccc23)c(F)c1
627071,Cc1nnc(-c2cc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c(F)c2)o1
627551,Cc1cn([C@H]2C[C@H](n3cc(-c4ccc(F)cc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O
627073,Nc1nnc(-c2cc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c(F)c2)o1
627074,Cc1noc(-c2cc(F)c(-c3c(=O)ccn4c(-c5ccc(F)cc5F)cccc34)c(F)c2)n1
627150,O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1cc(-c2nnco2)ccc1F
627009,NC(=O)c1cc(F)c(-c2c(=O)ccn3c(-c4ccc(F)cc4F)cccc23)c(F)c1
627072,O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1c(F)cc(-c2nnco2)cc1F
183026,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21
175670,CSc1cc(-c2cccs2)oc(=O)c1C#N
183028,CN(C)CCCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
183223,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
183294,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(Cl)cc3)nc21
183181,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
182916,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1
183293,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21
182914,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCO)nc21
183214,CC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
183778,CN(C)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
183346,CN1CCN(Cc2ccc(Nc3ncc4cc(-c5c(Cl)cccc5Cl)c(=O)n(C)c4n3)cc2)CC1
169321,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
183220,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(CC)c3n2)cc1
183152,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C
183341,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21
182653,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21
182782,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21
183779,CCNCCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
183509,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21
193791,COc1nccc(-c2c(-c3ccccc3)nc3nc(N)ccn23)n1
186191,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2
642131,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2N)c(=O)[nH]c1=O
642135,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](N)[C@H]2O)c(=O)[nH]c1=O
642142,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2F)c(=O)[nH]c1=O
642143,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2Cl)c(=O)[nH]c1=O
642353,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1Cc1ccccc1
642532,Cc1cn([C@H]2C[C@H](CF)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642533,Cc1cn([C@H]2C[C@H](CN=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642542,Cc1cn([C@H]2C[C@H](CO)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642543,Cc1cn([C@H]2C[C@H](CN)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642744,O=C(CCCP(=O)(O)O)CP(=O)(O)O
642745,O=C(CP(=O)(O)O)NCC(F)(F)P(=O)(O)O
642746,O=P(O)(O)CCCCC(F)(F)P(=O)(O)O
642748,O=C(CCP(=O)(O)O)CP(=O)(O)O
642749,O=C(CCC(F)(F)P(=O)(O)O)C(F)(F)P(=O)(O)O
642750,O=C(CCP(=O)(O)O)C(F)(F)P(=O)(O)O
