chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL10,182,673,0.2704309063893016,344,491
CHEMBL1000,0,1,0.0,1,1
CHEMBL100012,11,11,1.0,3,0
CHEMBL100076,0,1,0.0,1,1
CHEMBL100079,0,1,0.0,1,1
CHEMBL100102,0,14,0.0,2,14
CHEMBL100172,2,2,1.0,1,0
CHEMBL100206,2,2,1.0,1,0
CHEMBL100220,0,1,0.0,1,1
CHEMBL100262,1,1,1.0,1,0
CHEMBL100309,5,8,0.625,4,3
CHEMBL100312,0,6,0.0,3,6
CHEMBL100391,2,2,1.0,2,0
CHEMBL100421,1,1,1.0,1,0
CHEMBL100446,0,1,0.0,1,1
CHEMBL100473,1,1,1.0,1,0
CHEMBL100485,0,1,0.0,1,1
CHEMBL100500,0,1,0.0,1,1
CHEMBL100546,1,1,1.0,1,0
CHEMBL100551,2,3,0.6666666666666666,2,1
CHEMBL100569,0,1,0.0,1,1
CHEMBL100645,0,1,0.0,1,1
CHEMBL100651,2,2,1.0,1,0
CHEMBL100664,0,2,0.0,2,2
CHEMBL100670,0,1,0.0,1,1
CHEMBL100675,0,2,0.0,2,2
CHEMBL100703,1,1,1.0,1,0
CHEMBL100714,0,3,0.0,2,3
CHEMBL100739,1,1,1.0,1,0
CHEMBL100803,0,8,0.0,1,8
CHEMBL100811,0,2,0.0,2,2
CHEMBL100818,2,3,0.6666666666666666,2,1
CHEMBL100825,1,1,1.0,1,0
CHEMBL100847,4,4,1.0,1,0
CHEMBL1009,0,2,0.0,2,2
CHEMBL100914,1,1,1.0,1,0
CHEMBL100945,1,2,0.5,2,1
CHEMBL100979,0,3,0.0,3,3
CHEMBL101019,1,2,0.5,2,1
CHEMBL101027,0,1,0.0,1,1
CHEMBL101035,9,14,0.6428571428571429,4,5
CHEMBL101052,0,2,0.0,2,2
CHEMBL101067,0,1,0.0,1,1
CHEMBL101081,1,1,1.0,1,0
CHEMBL101119,2,2,1.0,2,0
CHEMBL101135,2,8,0.25,2,6
CHEMBL101156,1,2,0.5,2,1
CHEMBL101166,0,1,0.0,1,1
CHEMBL101253,1,672,0.001488095238095238,369,671
CHEMBL101261,0,1,0.0,1,1
CHEMBL101291,0,4,0.0,1,4
CHEMBL101311,15,56,0.26785714285714285,56,41
CHEMBL101434,0,8,0.0,1,8
CHEMBL101457,0,1,0.0,1,1
CHEMBL101468,1,2,0.5,2,1
CHEMBL101473,1,2,0.5,2,1
CHEMBL101552,6,10,0.6,2,4
CHEMBL101557,0,2,0.0,2,2
CHEMBL101558,0,2,0.0,2,2
CHEMBL101559,0,1,0.0,1,1
CHEMBL1016,0,1,0.0,1,1
CHEMBL101616,1,1,1.0,1,0
CHEMBL101659,0,1,0.0,1,1
CHEMBL101672,0,1,0.0,1,1
CHEMBL101679,1,2,0.5,2,1
CHEMBL101683,0,5,0.0,3,5
CHEMBL101726,0,1,0.0,1,1
CHEMBL101747,2,2,1.0,2,0
CHEMBL101779,0,2,0.0,2,2
CHEMBL101795,0,1,0.0,1,1
CHEMBL101797,1,2,0.5,2,1
CHEMBL101801,2,3,0.6666666666666666,2,1
CHEMBL101804,3,3,1.0,3,0
CHEMBL101805,2,2,1.0,1,0
CHEMBL101810,2,2,1.0,2,0
CHEMBL101868,0,2,0.0,2,2
CHEMBL101887,1,2,0.5,2,1
CHEMBL101892,2,3,0.6666666666666666,3,1
CHEMBL101917,6,8,0.75,2,2
CHEMBL101951,0,8,0.0,1,8
CHEMBL101965,0,1,0.0,1,1
CHEMBL102000,2,2,1.0,1,0
CHEMBL102008,1,2,0.5,2,1
CHEMBL102042,1,1,1.0,1,0
CHEMBL102047,0,3,0.0,2,3
CHEMBL102106,1,1,1.0,1,0
CHEMBL102136,0,2,0.0,2,2
CHEMBL102141,0,1,0.0,1,1
CHEMBL102148,0,1,0.0,1,1
CHEMBL102165,1,1,1.0,1,0
CHEMBL102183,1,1,1.0,1,0
CHEMBL102217,1,1,1.0,1,0
CHEMBL102241,1,1,1.0,1,0
CHEMBL102301,0,27,0.0,10,27
