target_kinase,n_active,n_total,activity_rate,n_compounds,n_inactive
1-phosphatidylinositol 3-phosphate 5-kinase,65,88,0.7386363636363636,42,23
3-phosphoinositide dependent protein kinase-1,809,1828,0.4425601750547046,1655,1019
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",4,37,0.10810810810810811,37,33
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",11,36,0.3055555555555556,36,25
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",520,656,0.7926829268292683,522,136
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",16,18,0.8888888888888888,18,2
ALK tyrosine kinase receptor,2893,4276,0.6765668849391955,2996,1383
AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1,93,129,0.7209302325581395,39,36
"AMP-activated protein kinase, AMPK",217,1736,0.125,194,1519
"AMP-activated protein kinase, alpha-1 subunit",234,1305,0.1793103448275862,1187,1071
"AMP-activated protein kinase, alpha-2 subunit",39,110,0.35454545454545455,108,71
"AMP-activated protein kinase, beta-1 subunit",10,25,0.4,24,15
"AMP-activated protein kinase, beta-2 subunit",1,2,0.5,2,1
"AMP-activated protein kinase, gamma-1 subunit",12,245,0.04897959183673469,245,233
"AMP-activated protein kinase, gamma-2 subunit",13,242,0.05371900826446281,242,229
"Acylglycerol kinase, mitochondrial",0,1,0.0,1,1
Adaptor-associated kinase,393,717,0.5481171548117155,539,324
Adenosine kinase,453,930,0.4870967741935484,810,477
Adenylate kinase 2,0,239,0.0,239,239
Ankyrin repeat and protein kinase domain-containing protein 1,15,84,0.17857142857142858,83,69
Aurora kinase A-interacting protein,1,3,0.3333333333333333,3,2
Aurora kinase A/Targeting protein for Xklp2,30,42,0.7142857142857143,20,12
Aurora kinase B/Inner centromere protein,222,410,0.5414634146341464,190,188
Aurora kinase B/Receptor-type tyrosine-protein kinase,4,4,1.0,2,0
BMP-2-inducible protein kinase,99,402,0.2462686567164179,318,303
BR serine/threonine-protein kinase 1,75,711,0.10548523206751055,689,636
BR serine/threonine-protein kinase 2,10,96,0.10416666666666667,92,86
Beta-adrenergic receptor kinase 2,36,47,0.7659574468085106,46,11
Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,0,1,0.0,1,1
Bifunctional polynucleotide phosphatase/kinase,3,3,1.0,2,0
CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),540,704,0.7670454545454546,279,164
CaM kinase I alpha,43,808,0.053217821782178217,777,765
CaM kinase I delta,81,480,0.16875,431,399
CaM kinase I gamma,20,124,0.16129032258064516,112,104
CaM kinase II,136,384,0.3541666666666667,93,248
CaM kinase II alpha,67,493,0.1359026369168357,436,426
CaM kinase II beta,42,705,0.059574468085106386,679,663
