chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL10,4,6,0.6666666666666666,6,2
CHEMBL100084,3,3,1.0,1,0
CHEMBL100289,0,3,0.0,1,3
CHEMBL100688,0,2,0.0,1,2
CHEMBL100713,0,3,0.0,1,3
CHEMBL100714,0,3,0.0,2,3
CHEMBL100719,0,2,0.0,1,2
CHEMBL101020,0,2,0.0,1,2
CHEMBL101135,0,2,0.0,2,2
CHEMBL101142,0,3,0.0,1,3
CHEMBL101143,0,2,0.0,1,2
CHEMBL101253,0,3,0.0,3,3
CHEMBL101358,0,3,0.0,1,3
CHEMBL101651,0,2,0.0,1,2
CHEMBL101730,0,2,0.0,1,2
CHEMBL101786,0,2,0.0,1,2
CHEMBL101892,0,1,0.0,1,1
CHEMBL102001,1,2,0.5,1,1
CHEMBL102191,0,1,0.0,1,1
CHEMBL102425,0,1,0.0,1,1
CHEMBL102454,0,1,0.0,1,1
CHEMBL1031,5,5,1.0,1,0
CHEMBL103283,0,4,0.0,2,4
CHEMBL103307,0,1,0.0,1,1
CHEMBL103544,0,8,0.0,1,8
CHEMBL103645,1,2,0.5,1,1
CHEMBL103667,1,5,0.2,5,4
CHEMBL103810,0,2,0.0,1,2
CHEMBL103978,0,1,0.0,1,1
CHEMBL104119,0,1,0.0,1,1
CHEMBL104153,1,1,1.0,1,0
CHEMBL104244,1,1,1.0,1,0
CHEMBL104264,5,6,0.8333333333333334,3,1
CHEMBL104749,1,1,1.0,1,0
CHEMBL104779,1,1,1.0,1,0
CHEMBL104991,1,1,1.0,1,0
CHEMBL105248,1,1,1.0,1,0
CHEMBL105318,0,1,0.0,1,1
CHEMBL105436,1,1,1.0,1,0
CHEMBL105442,0,2,0.0,2,2
CHEMBL106232,1,1,1.0,1,0
CHEMBL106525,4,4,1.0,4,0
CHEMBL106772,2,2,1.0,2,0
CHEMBL107472,1,1,1.0,1,0
CHEMBL1076555,0,1,0.0,1,1
CHEMBL1078178,0,1,0.0,1,1
CHEMBL107850,1,1,1.0,1,0
CHEMBL1079742,1,1,1.0,1,0
CHEMBL1082691,0,2,0.0,1,2
CHEMBL10835,4,4,1.0,4,0
CHEMBL1083627,0,1,0.0,1,1
CHEMBL1084269,1,1,1.0,1,0
CHEMBL1086376,0,1,0.0,1,1
CHEMBL1086983,2,3,0.6666666666666666,2,1
CHEMBL108888,1,1,1.0,1,0
CHEMBL1088919,1,1,1.0,1,0
CHEMBL1088970,1,1,1.0,1,0
CHEMBL1088971,1,1,1.0,1,0
CHEMBL1088972,1,1,1.0,1,0
CHEMBL1088973,1,1,1.0,1,0
CHEMBL1088974,1,1,1.0,1,0
CHEMBL1089219,1,1,1.0,1,0
CHEMBL1089805,0,2,0.0,2,2
CHEMBL1089867,0,3,0.0,3,3
CHEMBL1090132,0,3,0.0,3,3
CHEMBL1090133,0,3,0.0,3,3
CHEMBL1090134,0,2,0.0,2,2
CHEMBL1090868,1,2,0.5,2,1
CHEMBL1090869,0,1,0.0,1,1
CHEMBL1091210,0,1,0.0,1,1
CHEMBL1091665,1,1,1.0,1,0
CHEMBL1091666,1,1,1.0,1,0
CHEMBL1091719,0,2,0.0,2,2
CHEMBL1091873,0,1,0.0,1,1
CHEMBL1091931,0,2,0.0,2,2
CHEMBL1091988,1,2,0.5,2,1
CHEMBL1092034,1,1,1.0,1,0
CHEMBL1092035,1,1,1.0,1,0
CHEMBL1092036,1,1,1.0,1,0
CHEMBL1092037,1,1,1.0,1,0
CHEMBL1092038,1,1,1.0,1,0
CHEMBL1092039,1,1,1.0,1,0
CHEMBL1092040,1,1,1.0,1,0
CHEMBL1092041,1,1,1.0,1,0
CHEMBL1092042,1,1,1.0,1,0
CHEMBL1092043,1,1,1.0,1,0
CHEMBL1092044,1,1,1.0,1,0
CHEMBL1092045,1,1,1.0,1,0
CHEMBL1092046,1,1,1.0,1,0
CHEMBL1092509,0,2,0.0,1,2
CHEMBL1092642,1,1,1.0,1,0
CHEMBL1092653,1,1,1.0,1,0
CHEMBL1092729,0,1,0.0,1,1
CHEMBL1092908,1,1,1.0,1,0
CHEMBL1092909,1,1,1.0,1,0
CHEMBL1092914,1,1,1.0,1,0
CHEMBL109296,1,1,1.0,1,0
CHEMBL1093181,1,1,1.0,1,0
CHEMBL1093182,1,1,1.0,1,0
CHEMBL1094251,0,1,0.0,1,1
CHEMBL1094252,0,1,0.0,1,1
CHEMBL1094253,0,1,0.0,1,1
CHEMBL1094551,0,1,0.0,1,1
CHEMBL1094555,0,1,0.0,1,1
