target_kinase,n_active,n_total,activity_rate,n_compounds,n_inactive
1-phosphatidylinositol 3-phosphate 5-kinase,0,1,0.0,1,1
2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase,22,75,0.29333333333333333,60,53
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,5,71,0.07042253521126761,62,66
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,1,10,0.1,10,9
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic/chromoplastic",0,2,0.0,2,2
6-phospho-1-fructokinase,16,54,0.2962962962962963,51,38
"6-phospho-1-fructokinase, putative",14,42,0.3333333333333333,42,28
ALK tyrosine kinase receptor,5,10,0.5,10,5
"AMP-activated protein kinase, AMPK",7,14,0.5,2,7
"AMP-activated protein kinase, alpha-2 subunit",1,1,1.0,1,0
AP2-associated protein kinase 1,47,47,1.0,47,0
Activated CDC42 kinase 1,34,40,0.85,40,6
Adenosine kinase,183,355,0.5154929577464789,254,172
Adenylate kinase 2,4,17,0.23529411764705882,11,13
Adenylate kinase 3 alpha like 1,3,8,0.375,6,5
Aurora kinase A-A,1,1,1.0,1,0
Aurora kinase B-A,3,3,1.0,3,0
Aurora kinase B-B,6,6,1.0,6,0
Autoinducer 1 sensor kinase/phosphatase luxN,0,10,0.0,9,10
Beta-adrenergic receptor kinase 1,21,89,0.23595505617977527,85,68
Beta-adrenergic receptor kinase 2,0,6,0.0,6,6
CAI-1 autoinducer sensor kinase/phosphatase CqsS,0,6,0.0,6,6
CGMP-dependent protein kinase,47,53,0.8867924528301887,51,6
Ca2+/calmodulin-dependent protein kinase II (CaM kinase II),0,8,0.0,2,8
CaM kinase I alpha,0,13,0.0,13,13
CaM kinase II alpha,73,101,0.7227722772277227,39,28
Calcium dependent protein kinase,0,1,0.0,1,1
Calcium-dependent protein kinase 1,601,660,0.9106060606060606,659,59
Calcium-dependent protein kinase 2,0,1,0.0,1,1
Calcium-dependent protein kinase 4,460,460,1.0,460,0
Calcium/calmodulin-dependent protein kinase kinase 2,16,43,0.37209302325581395,43,27
Calcium/calmodulin-dependent protein kinase with a kinase domain and 2 calmodulin-like EF hands,0,1,0.0,1,1
Calcium/calmodulin-dependent protein kinase with a kinase domain and 4 calmodulin like EF hands,0,1,0.0,1,1
Calmodulin-domain protein kinase 1,221,232,0.9525862068965517,228,11
Carbamate kinase,1,1,1.0,1,0
"Casein kinase 1, delta tv1",20,30,0.6666666666666666,30,10
Casein kinase 2,46,88,0.5227272727272727,30,42
Casein kinase I,1,2,0.5,2,1
Casein kinase I delta,59,69,0.855072463768116,34,10
Casein kinase I isoform alpha,6,73,0.0821917808219178,73,67
Casein kinase I isoform delta,0,1,0.0,1,1
Casein kinase II alpha,17,17,1.0,17,0
Casein kinase II alpha (prime),1,1,1.0,1,0
Casein kinase II beta,1,1,1.0,1,0
Casein kinase II subunit alpha,1,1,1.0,1,0
Cdc2-related kinase,6,9,0.6666666666666666,9,3
Cdk-related protein kinase 6,467,470,0.9936170212765958,470,3
Cell cycle histidine kinase CckA,0,12,0.0,11,12
Choline kinase,0,1,0.0,1,1
Creatine kinase M-type,0,3,0.0,1,3
Cyclin-dependent kinase 1,3,7,0.42857142857142855,7,4
Cyclin-dependent kinase 4,20,20,1.0,20,0
Cyclin-dependent kinase 5,1,1,1.0,1,0
Cyclin-dependent protein kinase PHO85,0,1,0.0,1,1
Cytoplasmic tyrosine-protein kinase BMX,0,6,0.0,6,6
D-beta-D-heptose 7-phosphate kinase,2,2,1.0,2,0
DNA-dependent protein kinase catalytic subunit,2,2,1.0,2,0
Deoxycytidine kinase,18,32,0.5625,32,14
Deoxynucleoside kinase,2,33,0.06060606060606061,33,31
Diacylglycerol kinase alpha,1,5,0.2,4,4
Dual specificity mitogen-activated protein kinase kinase 1,3,4,0.75,4,1
Dual specificity mitogen-activated protein kinase kinase 4,4,4,1.0,4,0
Dual specificity mitogen-activated protein kinase kinase MEK1/2,6,28,0.21428571428571427,14,22
Dual specificity protein kinase CLK1,180,274,0.656934306569343,259,94
Dual specificity protein kinase CLK2,71,143,0.4965034965034965,140,72
Dual specificity protein kinase CLK3,26,173,0.15028901734104047,161,147
Dual specificity protein kinase CLK4,111,146,0.7602739726027398,143,35
Dual specificity tyrosine-phosphorylation-regulated kinase 1A,162,519,0.31213872832369943,503,357
Dual-specificity tyrosine-phosphorylation regulated kinase 1A,2,16,0.125,16,14
Eukaryotic elongation factor 2 kinase,1,1,1.0,1,0
Eukaryotic translation initiation factor 2-alpha kinase 3,1,1,1.0,1,0
Focal adhesion kinase 1,0,1,0.0,1,1
G protein-coupled receptor kinase 5,2,45,0.044444444444444446,44,43
Galactokinase,3,8,0.375,8,5
Glucokinase regulatory protein,17,18,0.9444444444444444,9,1
Glycogen synthase kinase 3,24,32,0.75,32,8
Glycogen synthase kinase 3 alpha,0,4,0.0,4,4
Glycogen synthase kinase 3 beta,7,53,0.1320754716981132,53,46
Glycogen synthase kinase-3,304,1480,0.20540540540540542,726,1176
Glycogen synthase kinase-3 alpha,0,1,0.0,1,1
Glycogen synthase kinase-3 beta,25,25,1.0,24,0
Glycogen synthase kinase-3 beta splice variant X1,140,140,1.0,140,0
HPr kinase,0,2,0.0,1,2
Hexokinase,17,257,0.06614785992217899,208,240
Hexokinase type IV,0,1,0.0,1,1
Histidine protein kinase SaeS,0,2,0.0,2,2
Inhibitor of nuclear factor kappa-B kinase subunit beta,1,26,0.038461538461538464,26,25
Inorganic polyphosphate/ATP-NAD kinase,0,4,0.0,4,4
Inositol-trisphosphate 3-kinase A,0,9,0.0,7,9
Interleukin-1 receptor-associated kinase 4,1,1,1.0,1,0
Ketohexokinase,5,5,1.0,3,0
KinA/Spo0F (sporulation kinase A/sporulation initiation phosphotransferase F),0,88,0.0,42,88
LIM domain kinase 1,10,11,0.9090909090909091,11,1
